amb_adjusted,delay_withheld_info_adjusted,delay_foreshadowing_adjusted,delay_cliffhanger_adjusted,delay_pacing_adjusted,atmosphere_adjusted,length,punctuation_density,avg_word_length,ends_ellipsis,ends_dash,has_semicolon,adj_density,adv_density,modal_density,verb_density,Author
0,0,0,0,0,0,30,0.016666666666666666,5.0,0,0,0,0.0,0.030303030303030304,0.030303030303030304,0.18181818181818182,Stoker
1,1,0,0,0,8,104,0.019543973941368076,4.875,0,0,1,0.13333333333333333,0.058333333333333334,0.0,0.15833333333333333,Stoker
1,1,0,0,0,8,104,0.019543973941368076,4.875,0,0,1,0.13333333333333333,0.058333333333333334,0.0,0.15833333333333333,Stoker
1,1,0,0,0,8,104,0.019543973941368076,4.875,0,0,1,0.13333333333333333,0.058333333333333334,0.0,0.15833333333333333,Stoker
1,1,0,0,0,8,104,0.019543973941368076,4.875,0,0,1,0.13333333333333333,0.058333333333333334,0.0,0.15833333333333333,Stoker
1,0,0,0,0,2,78,0.02102803738317757,4.461538461538462,0,0,1,0.0851063829787234,0.0425531914893617,0.031914893617021274,0.13829787234042554,Stoker
-1,-1,-1,-1,-1,-1,28,0.034482758620689655,4.142857142857143,0,0,0,0.0,0.05555555555555555,0.0,0.19444444444444445,Stoker
1,0,0,0,0,1,66,0.008595988538681949,4.287878787878788,0,0,0,0.0684931506849315,0.0547945205479452,0.0273972602739726,0.1643835616438356,Stoker
0,0,0,0,0,1,55,0.023026315789473683,4.509090909090909,0,0,0,0.02857142857142857,0.11428571428571428,0.02857142857142857,0.18571428571428572,Stoker
2,1,1,0,0,1,95,0.016701461377870562,4.021052631578947,0,0,0,0.04504504504504504,0.04504504504504504,0.018018018018018018,0.16216216216216217,Stoker
0,0,0,0,0,0,18,0.039603960396039604,4.555555555555555,0,0,0,0.0,0.0,0.03571428571428571,0.14285714285714285,Stoker
0,0,0,0,0,2,72,0.027918781725888325,4.458333333333333,0,0,0,0.021505376344086023,0.03225806451612903,0.010752688172043012,0.13978494623655913,Stoker
2,0,2,2,0,0,37,0.02617801047120419,4.135135135135135,0,0,0,0.047619047619047616,0.09523809523809523,0.0,0.16666666666666666,Stoker
